hikeID,hike_name,region,distance_kms,elevation_mts,difficulty_level,stars,num_reviews,user_ratings,route_type_De punto a punto,route_type_Ida y vuelta,dog_friendly,kid_friendly,camping,trekking,near_water,mountain_biking,great_views,bird_watching,climbing,forests,trail_running,historic_place
168,Paseo del Rio Atoyac via Periférico Ecológico,puebla,26.1,442.0,2,5.0,1,[{'Cesar Pigeon': '5'}],0,0,0,0,0,0,1,0,0,0,0,0,1,0
82,Cuatro Palos to Mision de Bucareli,querétaro,23.2,1861.0,3,5.0,1,[{'Eduardo 44': '5'}],0,1,1,0,1,1,1,0,1,1,1,1,0,0
188,Presa El Rejón Scenic Trail,chihuahua,6.6,112.0,2,4.7,3,"[{'Edgar Maldonado': '5'}, {'Amador Yair': '4'}, {'Alex Lebaron': '5'}]",0,0,0,1,0,1,1,1,0,0,0,0,1,0
206,San Felipe 250 OHV Course,baja california,370.0,5051.0,3,4.0,1,[{'Gerardo Nuno': '4'}],0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,Cerro “El Chupón” Hike,nuevo león,4.2,388.0,2,4.0,4,"[{'Dulce Acevedo': '2'}, {'Darren Hughes': '4'}, {'Sandra Mireles': '5'}, {'Jorge Llaguno': '5'}]",0,1,1,1,0,1,0,0,1,1,1,1,1,0
59,Cerro de el Mezcalillo,jalisco,10.6,381.0,2,4.0,1,[{'Eduardo 44': '4'}],0,0,0,0,0,1,0,0,1,0,0,1,0,0
172,Peña de Bernal,querétaro,2.1,198.0,2,4.8,12,"[{'Donald Grimm': '5'}, {'Adriana D.': '4'}, {'Brooklynn Jai': '5'}, {'Jay Fuentes': '5'}, {'Miguel Espinoza': '4'}, {'Magdalena Esparza Rgz': '5'}, {'Callie Houghland': '5'}, {'Adrián Morales': '5'}, {'Micajah Spoden': '5'}, {'Daniel Chow': '5'}, {'Jorge Quintero': '5'}, {'Jorge Carrillo': '5'}]",0,1,0,0,0,1,0,0,1,0,1,0,1,0
26,Brecha del Chile y Las Florida ,nuevo león,4.2,298.0,1,4.3,3,"[{'Enjalin Zwanzigmorgan': '4'}, {'miguel velarde': '5'}, {'Jorge Antonio Garza Peña (George': '4'}]",0,0,0,0,0,1,0,1,1,1,0,1,0,0
136,Malecon Coatza,veracruz de ignacio de la llave,2.7,16.0,1,3.5,2,"[{'Freddy joel  Dominguez carcaño ': '3'}, {'Freddy joel  Dominguez carcaño ': '4'}]",0,1,0,0,0,0,0,0,1,1,0,0,1,0
28,Camino Cabo Este Scenic Drive,baja california sur,103.6,1508.0,2,5.0,4,"[{'Sandra Koch': '5'}, {'Bill Crain': '5'}, {'Betsy Lynch': '5'}, {'Maxine Gnazzo': '5'}]",1,0,1,1,1,0,0,0,1,1,0,0,0,0
53,Cerro Pinacate Loop,sonora,17.1,1008.0,3,5.0,2,"[{'Jesse Boersma': '5'}, {'Bruno Panara': '5'}]",0,0,0,0,0,1,0,0,1,1,0,1,0,0
241,Trail Mineral del Chico Race Route,estado de hidalgo,20.3,1217.0,3,5.0,1,[{'Buzz LightRich': '5'}],0,0,0,0,0,1,0,0,1,1,0,1,1,0
236,The Walled City,quintana roo,1.3,26.0,1,4.6,11,"[{'V Urena': '5'}, {'Amanda Page': '5'}, {'Jacqueline Cox': '4'}, {'yona kopolovich': '5'}, {'Hai Van': '4'}, {'Paula Valenzuela': '5'}, {'Conner Davis': '5'}, {'Eric Haight': '5'}, {'Conner Davis': '5'}, {'Denise Neves': '3'}, {'Steph Connell': '5'}]",0,0,0,0,0,1,0,0,1,0,0,0,0,1
224,Sendero del Pelado,morelos,12.7,658.0,2,5.0,3,"[{'Edgar Jardon': '5'}, {'Edgar Jardon': '5'}, {'Edgar Jardon': '5'}]",0,1,0,0,0,1,0,0,1,0,0,0,0,0
108,El Tepalo Loop,jalisco,4.7,339.0,2,4.2,12,"[{'Lamorna Hollingsworth': '3'}, {'Gabyotta Snap': '5'}, {'John Connie Reimer': '4'}, {'Mike Greschner': '5'}, {'Martin Roldan Araujo': '4'}, {'Gabyotta Snap': '4'}, {'Gabyotta Snap': '3'}, {'Mike Greschner': '4'}, {'Gabyotta Snap': '5'}, {'Phillip Whitley': '4'}, {'Erick R.': '4'}, {'D Busch': '5'}]",0,0,0,0,0,1,1,0,1,0,1,1,0,1
189,Presa Paso de Tablas,querétaro,5.6,167.0,2,4.0,1,[{'Celeste Aviles': '4'}],0,0,0,0,0,1,1,0,1,0,0,0,0,0
4,Alameda Central to Chapultepec via Ciclovia Juárez,ciudad de méxico,12.4,265.0,2,5.0,2,"[{'David Covarrubias': '5'}, {'Anthony Virdone': '5'}]",0,1,1,0,0,0,1,0,0,0,0,0,0,0
249,Volcán Tacaná,chiapas,18.3,2049.0,2,4.0,1,[{'Mario Gomez': '4'}],0,0,0,0,0,1,0,0,1,0,0,0,0,0
17,Blue Bottle Saddle Hike,baja california,13.7,470.0,3,5.0,3,"[{'Lou Zar': '5'}, {'Alberto Rincon Jr': '5'}, {'Donna Miller': '5'}]",0,1,0,0,1,1,0,0,1,1,0,1,0,0
31,Camino a la Cueva desde los llanos de Lapuente,san luis potosí,2.3,102.0,1,4.0,1,[{'Michel Rivial': '4'}],0,0,0,0,0,1,0,0,0,0,0,1,0,0
169,Paso del Caballero,nuevo león,8.7,507.0,3,5.0,1,[{'Daniel Hernández-Cantú': '5'}],0,1,0,0,0,1,0,0,1,0,0,1,1,0
60,Cerro de la Silla (Antenas),nuevo león,10.3,1174.0,3,4.5,18,"[{'James Carfield': '4'}, {'Veronica CoPe': '4'}, {'Leandro da Costa': '5'}, {'Hannah Pinkerton': '5'}, {'George Doran III': '5'}, {'Leticia  Flores': '5'}, {'Rick Glisson': '4'}, {'ToCatchAHacker User': '4'}, {'Megan Lipovsky': '5'}, {'Felix Lustig': '5'}, {'Samantha Bueno': '5'}, {'Brian Schumann': '4'}, {'Erick Rocha': '5'}, {'Antonio Cueto': '4'}, {'Perla Tijerina': '5'}, {'Adela Fernandez': '5'}, {'Eduardo Zarate': '4'}, {'Sergio Garca': '3'}]",0,1,1,0,0,1,0,0,1,1,1,1,1,0
15,Batea-Cerro de San Juan,nayarit,4.0,423.0,2,5.0,3,"[{'Bere JV': '5'}, {'C Hdez V': '5'}, {'Stephanie Rosales': '5'}]",0,1,1,1,1,1,0,0,1,1,0,1,1,0
42,Cañon de la Murcielaguera,veracruz de ignacio de la llave,4.3,182.0,2,4.0,1,[{'Jorge Carrillo': '4'}],0,1,0,0,0,1,0,0,1,1,0,1,0,0
154,Nevado de Toluca Rim Crater Trail,estado de méxico,7.9,679.0,3,4.8,5,"[{'LINDSAY SWIFT': '5'}, {'Jorge Carrillo': '4'}, {'Julien Blaise': '5'}, {'Caum Jones': '5'}, {'Mikey Swift': '5'}]",0,0,0,0,0,1,0,0,1,1,1,1,0,0
33,Camino el Chupón,nuevo león,2.1,332.0,1,5.0,1,[{'Carmen Equihua': '5'}],0,1,0,0,0,1,0,0,1,0,0,1,0,0
83,Cuauhtinchan,estado de méxico,1.4,112.0,1,4.5,2,"[{'Fernanda Pdr': '5'}, {'Francisco Ferrer': '4'}]",0,1,0,0,0,1,0,0,0,0,0,0,0,1
194,Punta Brava Trail,baja california,1.8,90.0,1,5.0,1,[{'Donna Miller': '5'}],0,0,0,0,0,1,0,0,1,0,0,0,0,0
61,Cerro de la Venta,querétaro,4.5,231.0,2,4.0,1,[{'Jc Zotomaior': '4'}],0,0,0,0,0,1,0,0,1,0,0,0,1,0
6,Antenas Cantú Sendero,baja california,19.2,913.0,2,4.5,2,"[{'Ken Tramp': '4'}, {'Donna Miller': '5'}]",0,1,0,0,0,1,0,0,1,1,0,0,1,0
238,Tires and Virgin Tail ,ciudad de méxico,14.6,804.0,3,4.0,1,[{'Erich Lindner': '4'}],0,1,0,0,0,1,0,1,1,1,0,1,1,0
165,Parque Nacional el Cimatario ,querétaro,6.0,241.0,2,4.6,12,"[{'Donald Grimm': '5'}, {'Priscilla Guerrero': '5'}, {'Daniel Gonzalez': '4'}, {'Magdalena Esparza Rgz': '4'}, {'Callie Houghland': '4'}, {'Francisco S': '5'}, {'Bernardo Cassina': '4'}, {'Luis  Salcedo Martinez': '5'}, {'Adrián Morales': '5'}, {'Fermín Montoya Olvera': '5'}, {'The Crazy Seis': '4'}, {'Micajah Spoden': '5'}]",0,1,0,1,0,1,0,1,1,1,0,1,0,0
133,Liz's Arroyo to E-Loop Trail,baja california sur,4.7,86.0,2,5.0,1,[{'Daniel Lees': '5'}],0,0,0,0,0,1,0,0,1,1,0,0,0,0
209,San Nicolás Totolapan Trail ,ciudad de méxico,12.4,575.0,2,4.3,3,"[{'Rodrigo Gutierrez Villarreal': '4'}, {'Eduardo Nevado': '5'}, {'Celeste Aviles': '4'}]",0,0,0,0,0,1,0,1,1,1,0,1,1,0
19,Boca de Tomatlan to Quimixto Waterfall,jalisco,15.4,486.0,2,4.8,11,"[{'Lindsay N': '4'}, {'Mark Smith': '5'}, {'Evgenia Kostiaeva': '5'}, {'Zbigniew Lewandowski': '5'}, {'Nicole Bracco': '5'}, {'Lia Winter': '5'}, {'Tee Isais': '5'}, {'Mike Battistel': '5'}, {'Charles  Christman': '5'}, {'Marcus Naidu': '4'}, {'Tommy Loe': '5'}]",0,1,1,0,0,1,1,0,1,1,1,1,0,0
221,Sendero La Cruz,jalisco,0.6,70.0,1,5.0,1,[{'Rubi Garcia': '5'}],0,1,0,0,0,1,0,0,1,0,0,0,0,0
65,Cerro del Vigía  [PRIVATE PROPERTY],baja california sur,2.6,130.0,2,4.5,66,"[{'Ryan Munson': '5'}, {'Abby  F': '5'}, {'lawrence tafoya': '5'}, {'Ian Barker': '5'}, {'Chris Sherman': '5'}, {'Laura Benjamin': '5'}, {'Enrique Morales': '5'}, {'Jessica Rizo': '5'}, {'Gregg Nordin': '5'}, {'Desiree Macke': '5'}, {'Natalie Whiting': '5'}, {'Silvi Steigerwald': '1'}, {'DAWN BULL': '3'}, {'Michael Lerner': '4'}, {'Gloria Gamboa': '5'}, {'Clarissa Peterson': '5'}, {'Heather Salyer': '5'}]",0,1,0,0,0,1,0,0,1,0,1,1,0,0
191,Puente de Dios-Rio Escanela,querétaro,6.4,157.0,1,4.8,5,"[{'Donald Grimm': '5'}, {'Kelly  Giffin ': '5'}, {'Jorge Carrillo': '5'}, {'Mario Gomez': '4'}, {'Cesar Orduna': '5'}]",0,1,0,1,0,1,1,0,1,1,0,1,0,0
